Year,Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
11560BP,12.1839064941,12.4633535156,13.8257027588,14.9056989746,15.1136010742,13.7726682614
11540BP,12.919001709,13.2288762817,14.8304482422,16.0003751831,16.2178979492,14.7380361897
11520BP,12.6746047363,12.9805013428,14.6520974121,15.933201416,16.1201013184,14.5875027963
11500BP,12.5250136719,12.7989125977,14.2168099365,15.1726453857,15.326595459,14.1214626702
11480BP,12.5129042969,12.7861043701,14.3926552734,15.4787778931,15.6289025879,14.2849184078
11460BP,12.6486953125,12.9333181152,14.6511483154,15.9649534302,16.1671044922,14.5712937708
11440BP,12.6279006348,12.9161733398,14.5136483154,15.7129484253,15.9291955566,14.427307874
11420BP,11.7790053711,12.0555028687,13.5970040283,14.7843961792,14.968795166,13.5327029798
11400BP,12.5302016602,12.8371495972,14.5064064941,15.6422254639,15.8386010742,14.387246718
11380BP,12.82740625,13.0942785034,14.7525979004,15.8073011475,15.9253991699,14.6277012117
11360BP,13.2669020996,13.6210515747,15.3909005127,16.6952741699,16.9293969727,15.2980179117
11340BP,13.1505080566,13.4278569946,14.9453041992,15.932446106,16.0950952148,14.8275134013
11320BP,12.7750014648,13.1171758423,14.90509729,16.3513532715,16.5612084961,14.8619752948
11300BP,13.1167067871,13.4138311157,14.9624001465,16.0838728027,16.2860986328,14.8720488651
11280BP,13.3078994141,13.5886251221,15.07725,16.1438551025,16.2972070312,15.000596549
11260BP,13.3419020996,13.5986760864,14.8686468506,15.75762323,15.9131982422,14.7905016317
11240BP,13.7427077637,13.9912587891,15.549704834,16.6570036011,16.8026025391,15.4593551504
11220BP,14.9678969727,15.2290471802,16.4103521729,17.29512323,17.4188012695,16.3706609233
11200BP,13.8502944336,14.1306691895,15.5555489502,16.6721983032,16.8416955566,15.5103197473
11180BP,14.3061904297,14.5893178711,16.1028481445,17.317173584,17.5170983887,16.0528232807
11160BP,13.3660048828,13.6360540161,14.9390478516,15.7507689819,15.8657922363,14.8413850042
11140BP,13.515699707,13.7458242188,15.1490944824,16.0081251221,16.1162011719,15.0297422216
11120BP,13.4891982422,13.7207235107,15.0534493408,15.7901228027,15.9129968262,14.9082440686
11100BP,14.5034987793,14.7569753418,16.052048584,16.9846021729,17.1327050781,15.983782782
11080BP,13.311604248,13.5869802246,14.9618508301,15.9795042114,16.1518029785,14.8953679261
11060BP,13.436994873,13.6728200684,15.1028481445,15.960822876,16.0723962402,14.9748478159
11040BP,14.1057021484,14.3272496948,15.6955544434,16.3850507812,16.4714013672,15.5338238598
11020BP,13.9156936035,14.1568685303,15.5372994385,16.4760511475,16.6094995117,15.4465363995
11000BP,13.4672988281,13.7172994385,15.065744873,15.861553772,16.006105957,14.933115127
10980BP,13.4257033691,13.6725042114,15.0630013428,15.923977478,16.0667016602,14.940063867
10960BP,13.9930007324,14.2337774048,15.7664467773,16.7274015503,16.9073022461,15.6170292895
10940BP,14.2213027344,14.4771016846,15.9645424805,16.9959806519,17.1808068848,15.85694824
10920BP,14.1020949707,14.36012323,15.8268441162,16.7853223877,16.9592980957,15.704861187
10900BP,14.0310073242,14.3497564087,15.9962044678,17.2635725098,17.4387963867,15.9418572948
10880BP,13.886994873,14.1764196167,15.6389990234,16.6430510864,16.8253015137,15.539436587
10860BP,13.8916091309,14.1586568604,15.357199707,16.3183547363,16.4360070801,15.3411901181
10840BP,13.9816970215,14.2392736206,15.6001503906,16.4657026367,16.6034020996,15.4933185208
10820BP,14.6464064941,14.8926061401,16.2479500732,17.1010053711,17.2753076172,16.1212902438
10800BP,14.3706069336,14.6670797119,16.1527047119,17.3458265381,17.5071008301,16.1226150402
10780BP,14.3431960449,14.6350713501,16.1456459961,17.2109815674,17.3906091309,16.0543870536
10760BP,14.8650039063,15.157149292,16.501847168,17.4939313965,17.6459069824,16.4479079626
10740BP,13.5677016602,13.8604787598,15.2863503418,16.2863050537,16.4664086914,15.1994493715
10720BP,14.8832961426,15.1144246826,16.3702462158,17.2622938232,17.3977929687,16.2988017039
10700BP,14.4301162109,14.6881870117,15.8711984863,16.7441237793,16.8577966309,15.8287010564
10680BP,13.9289992676,14.1900228271,15.7377999268,16.9111524658,17.0745019531,15.6707657945
10660BP,13.990296875,14.3214971313,15.8433510742,17.075350769,17.2740014648,15.810834652
10640BP,14.7691054688,15.0539295044,16.3740061035,17.2609481201,17.3826989746,16.2980072781
10620BP,13.6619033203,13.8858526001,15.0704506836,15.8735776978,16.0124047852,14.9877506287
10600BP,13.4950942383,13.7334188232,15.0347512207,15.8371931152,15.9831933594,14.9161524496
10580BP,14.3977126465,14.6600591431,15.9917519531,17.0512022095,17.2111047363,15.9544988001
10560BP,15.2832045898,15.5791539917,16.9461464844,18.1372785645,18.3076013184,16.9490103843
10540BP,13.7076003418,13.9597997437,15.2781502686,16.2303251343,16.3753991699,15.2105569916
10520BP,14.2490981445,14.500697876,15.7921486816,16.7999250488,16.9662988281,15.7437388072
10500BP,14.3188918457,14.5716176758,15.827854248,16.6117200928,16.7542993164,15.721902947
10480BP,14.1736037598,14.4206258545,15.7547493896,16.7475263672,16.9093041992,15.6886986828
10460BP,13.9135024414,14.1657750854,15.5969002686,16.6609769897,16.8256005859,15.5255003276
10440BP,14.9347976074,15.1743230591,16.5216500244,17.3974195557,17.5401940918,16.41518191
10420BP,14.6192092285,14.8703557739,16.358399292,17.3413984375,17.4864953613,16.2477483911
10400BP,14.3120986328,14.5689489136,15.821302124,16.7061231689,16.8452966309,15.7542638073
10380BP,14.101802002,14.3721547852,15.7569466553,16.7581464844,16.9020959473,15.691181163
10360BP,14.2000075684,14.4508565674,15.9343514404,17.0778287964,17.2576074219,15.868301112
10340BP,14.0949050293,14.351328064,15.712796875,16.5528989868,16.7055993652,15.5907605869
10320BP,14.7224990234,14.9278234253,16.1987496338,16.9211530762,17.0257043457,16.0682177282
10300BP,14.1552932129,14.4281453857,15.8888527832,16.9638288574,17.1043054199,15.8263738905
10280BP,14.3089003906,14.5443517456,15.8914437256,16.7589262085,16.9021020508,15.7807100722
10260BP,13.7826003418,14.0274007568,15.4069985352,16.3495023804,16.4935021973,15.3147627523
10240BP,14.1294997559,14.3719503174,15.6629952393,16.5055753784,16.6568994141,15.5602411273
10220BP,14.0336013184,14.2882009277,15.7062966309,16.5414030151,16.7033044434,15.5603957431
10200BP,15.0928908691,15.3211675415,16.4933480225,17.3915525513,17.5320031738,16.4474393884
10180BP,16.1030898438,16.2205142822,16.9701517334,17.4955275879,17.5530053711,16.9214225197
10160BP,16.4075942383,16.6284198608,17.7216931152,18.8224470215,18.9834985352,17.7598821273
10140BP,16.9369094238,17.1292545166,18.0689953613,18.9235181885,19.0506921387,18.075009094
10120BP,16.4666091309,16.6145587769,17.4001962891,17.9518447266,18.0430932617,17.3495590674
10100BP,16.2587966309,16.4167972412,17.5091013184,18.3516738281,18.5036950684,17.4390247303
10080BP,15.772706543,15.9506047974,16.9621437988,17.8537214355,17.9677941895,16.9603391347
10060BP,16.1861098633,16.3612583008,17.3534985352,18.1256803589,18.2636071777,17.3037934554
10040BP,16.4290969238,16.5258960571,17.303498291,17.9492049561,17.9897058105,17.283054371
10020BP,16.4877944336,16.6274967041,17.4956522217,18.151447998,18.2455957031,17.4484253642
10000BP,16.1072890625,16.2605670776,17.2293499756,17.9711561279,18.1030053711,17.1712977091
